similar_words_and_count,count_of_similar_words,most_used_similar_word,total_similar_words,associated_words
"{'easy loan': 2, 'private loan': 4, 'helpful loan': 1, 'personal loan': 22, 'quick loan': 1, 'entire loan': 2, 'future loan': 2, 'many loan': 1, 'extra loan': 1, 'responsive loan': 1, 'satisfied loan': 1, 'open loan': 1, 'pleasant loan': 1, 'easy banking': 1, 'medium loan': 1, 'awesome loan': 1, 'better loan': 1, 'simple loan': 1, 'individual loan': 1, 'transparent loan': 1, 'lower loan': 1, 'best loan': 1, 'easiest loan': 1}",50,personal loan,23,transparent
"{'financial transaction': 2, 'financial service': 3, 'financial situation': 5, 'financial track': 1, 'financial help': 3, 'financial credit': 1, 'financial providing': 1, 'financial portion': 1, 'financial organization': 1, 'financial struggle': 1, 'able transaction': 1, 'personal banking': 1, 'financial instrument': 1, 'financial group': 1, 'financial project': 1, 'financial field': 1, 'financial circumstance': 2, 'whole transaction': 1, 'financial customer': 1, 'financial process': 1, 'financial consideration': 1, 'financial application': 1, 'financial product': 1}",33,financial situation,23,whole
"{'amazing job': 2, 'wonderful work': 2, 'amazing experience': 5, 'excellent experience': 12, 'great job': 2, 'amazing service': 5, 'great work': 4, 'great experience': 26, 'incredible experience': 1, 'fantastic work': 1, 'incredible job': 1, 'remarkable experience': 1, 'great process': 1, 'pleasant work': 1, 'nice work': 1, 'amazing work': 2, 'awesome experience': 1, 'brilliant fact': 1}",69,great experience,18,wonderful
"{'professional customer': 1, 'professional offering': 1, 'amazing customer': 5, 'great customer': 9, 'professional service': 1, 'wonderful customer': 2, 'excellent customer': 12, 'proffesional employee': 1, 'nice customer': 1, 'courteous professional': 1, 'personable customer': 1, 'friendly customer': 1, 'supportive customer': 1, 'lifelong customer': 1, 'exceptional customer': 1}",39,excellent customer,15,wonderful
"{'efficient service': 1, 'excellent service': 5, 'fantastic service': 1, 'efficient manner': 1, 'satisfactory service': 1, 'many service': 1, 'great service': 5, 'wonderful service': 1, 'quick service': 1, 'efficient experience': 1, 'helpful service': 2, 'awesome service': 1, 'timely service': 1, 'exceptional service': 1}",23,excellent service,14,wonderful
"{'grateful help': 3, 'thankful support': 1, 'grateful institution': 1, 'helpful way': 1, 'great help': 1, 'grateful company': 1, 'many thanks': 1, 'helpful assistance': 1, 'grateful work': 1, 'thankful care': 1, 'willing help': 1, 'appreciated help': 1, 'grateful opportunity': 1, 'big thanks': 1}",16,grateful help,14,willing
"{'medical school': 21, 'medical office': 1, 'medical student': 30, 'medical field': 5, 'medical training': 1, 'medical education': 2, 'medical doctor': 1, 'medical profession': 1, 'young physician': 1, 'med school': 1, 'medical practice': 1, 'medical trainee': 1}",66,medical student,12,young
"{'excellent communication': 3, 'professional communication': 1, 'great communication': 1, 'amazing communication': 1, 'outstanding communication': 1, 'good communication': 2, 'quick communication': 1, 'easy communication': 1, 'unparalleled communication': 1, 'mean communication': 1, 'communicative efficient': 1}",14,excellent communication,11,unparalleled
"{'pleasant response': 1, 'good thing': 2, 'pleasant one': 1, 'happy answer': 1, 'excellent response': 1, 'quick reply': 1, 'happier result': 1, 'true thank': 1, 'great appreciate': 1, 'pleasant straightforward': 1}",11,good thing,10,true
"{'personal banker': 24, 'easy banker': 2, 'exceptional banker': 1, 'primary banker': 11, 'free banker': 1, 'fantastic banker': 1, 'straightforward banker': 1, 'seamless banker': 1, 'reasonable banker': 1, 'great banking': 1}",44,personal banker,10,straightforward
"{'online bank': 2, 'great bank': 1, 'recommend bank': 1, 'regular bank': 1, 'online account': 1, 'nice bank': 1, 'awesome bank': 1, 'online banking': 2, 'many bank': 1, 'different bank': 1}",12,online bank,10,regular
"{'best experience': 3, 'seamless experience': 2, 'good experience': 4, 'fantastic experience': 2, 'wonderful experience': 6, 'whole experience': 1, 'delightful experience': 1, 'unparalleled experience': 1, 'personal experience': 1}",21,wonderful experience,9,wonderful
"{'easy application': 4, 'helpful application': 1, 'complete application': 2, 'straightforward application': 1, 'friendly application': 1, 'easy use': 2, 'great application': 1, 'seamless application': 1, 'easy access': 1}",14,easy application,9,straightforward
"{'hard credit': 2, 'helpless credit': 1, 'better credit': 1, 'future credit': 1, 'third credit': 1, 'tremendous credit': 1, 'first credit': 1, 'soft credit': 1, 'standard credit': 1}",10,hard credit,9,tremendous
"{'entire process': 10, 'easy process': 6, 'whole process': 21, 'overall process': 1, 'conducted process': 1, 'straightforward process': 1, 'best process': 1, 'individual process': 1}",42,whole process,8,whole
"{'easy panacea': 1, 'recommend panacea': 3, 'new panacea': 1, 'much panacea': 1, 'grateful panacea': 3, 'pleased panacea': 1, 'future panacea': 1, 'comparable panacea': 1}",12,recommend panacea,8,recommend
"{'financial support': 3, 'financial burden': 4, 'financial need': 7, 'financial relief': 2, 'financial aid': 1, 'financial hardship': 1, 'financial hope': 1}",19,financial need,7,financial
"{'financial institution': 14, 'financial advisor': 1, 'financial employee': 1, 'financial planner': 1, 'financial team': 3, 'financial security': 1, 'financial healthcare': 1}",22,financial institution,7,financial
"{'slow process': 1, 'smoother process': 2, 'efficient process': 3, 'fast problem': 1, 'streamlined process': 1, 'tedious process': 1, 'smooth process': 1}",10,efficient process,7,tedious
"{'better interest': 1, 'great interest': 4, 'high interest': 7, 'best interest': 2, 'highest interest': 1, 'decent interest': 1}",16,high interest,6,highest
"{'monthly payment': 5, 'able pay': 3, 'early payment': 1, 'direct payment': 1, 'easy payment': 1, 'minimum payment': 1}",12,monthly payment,6,monthly
"{'able help': 2, 'able answer': 4, 'hard help': 1, 'much help': 1, 'difficult way': 1, 'able solve': 1}",10,able answer,6,much
"{'extra fund': 3, 'complete fund': 1, 'extra finance': 1, 'additional fund': 1, 'simple fund': 1, 'full fund': 1}",8,extra fund,6,simple
"{'hectic schedule': 1, 'hectic transition': 1, 'crazy schedule': 1, 'well schedule': 1, 'longer schedule': 1, 'busy schedule': 1}",6,hectic schedule,6,well
"{'new resident': 2, 'unable resident': 1, 'enough resident': 1, 'fellow resident': 1, 'new residency': 1}",6,new resident,5,unable
"{'entire debt': 1, 'large debt': 1, 'personal debt': 1, 'possible debt': 1, 'due debt': 1}",5,entire debt,5,possible
"{'unbeatable rate': 1, 'great rate': 2, 'reasonable rate': 1, 'amazing rate': 1, 'excellent rate': 1}",6,great rate,5,unbeatable
"{'prompt response': 2, 'quick respond': 4, 'prompt respond': 1, 'quick response': 2, 'available responds': 1}",10,quick respond,5,quick
"{'speak phone': 1, 'representative phone': 1, 'accessible phone': 2, 'personal phone': 1, 'human call': 1}",6,accessible phone,5,speak
"{'professional need': 1, 'professional staff': 1, 'professional process': 1, 'professional nationwide': 1, 'professional way': 1}",5,professional need,5,professional
"{'amazing product': 1, 'new product': 1, 'right product': 1, 'impressed product': 1, 'incredible company': 1}",5,amazing product,5,right
"{'helpful guide': 1, 'available help': 2, 'helpful process': 3, 'helpful working': 1, 'helpful guiding': 1}",8,helpful process,5,helpful
"{'available time': 3, 'navigate time': 1, 'appropriate time': 1, 'little time': 1, 'dedicate time': 1}",7,available time,5,navigate
"{'postal mail': 1, 'responsive email': 1, 'available email': 1, 'personal email': 1, 'general email': 1}",5,postal mail,5,responsive
"{'great option': 3, 'best option': 1, 'best decision': 1, 'recommend option': 1}",6,great option,4,recommend
"{'dental office': 1, 'dental clinic': 1, 'dental school': 1, 'dental practice': 2}",5,dental practice,4,dental
"{'financial risk': 1, 'financial safety': 1, 'financial stress': 1, 'low risk': 1}",4,financial risk,4,low
