BankURL,UserName,ReviewRating,UserLocation,ReviewTitle,comments,ReviewDate
panaceafinancial.com,Cindy Porter,5,US,Smooth,"Smooth, easy.  The loan was exactly as described. There are no hidden fees.","Date of experience: January 06, 2023"
panaceafinancial.com,Leonela,5,US,The company is doing an amazing job at?,The company is doing an amazing job at how professional they are with their customers and how willing they are to help you with anything you have questions or doubts.,"Date of experience: December 20, 2022"
panaceafinancial.com,R,5,US,Thank you Parker Beller,Parker Beller went out of his way to accommodate my need for refinancing my medical school loans along with the very hectic schedule I have during residency. He made himself available at times that worked for me and would always answer all my questions thoroughly. I appreciate all his work in helping me get approved.,"Date of experience: September 20, 2022"
panaceafinancial.com,Ron,1,US,Know your customer instructions need?,"Know your customer instructions need update and better clarity.  Financial transactions are slow to process. Current balances/pending transactions take a long time to show up online. No welcome package in postal mail. Once I received my checks my last name was spelled incorrectly. The ATM would not activate with a PIN. It seems it was one error after another, I closed my accounts.","Date of experience: October 19, 2022"
panaceafinancial.com,SHAIK BABA FAKRUDDIN,5,IN,All customer happily receive all answer?,All customer happily receive all answer happily not crazy you believe bank is always great life changing all people say all people's good receiving always Bank hopefully all people answer save,"Date of experience: November 27, 2022"
panaceafinancial.com,Larry,5,US,Everyone should bank ? here!!!!,"My every Phone ?? call and my every email to Panacea has been absolutely wonderful!!!! Always a quick pleasant response, and thier 3,25% interest is wonderful too!!!! ????? They answer all of my questions very professionally!!!!","Date of experience: November 14, 2022"
panaceafinancial.com,Andrea,5,US,I first heard about Panacea while?,I first heard about Panacea while listening to a Curbsiders episode. I decided to open a checking acct and ended up applying for a loan to consolidate credit card debt in order to pay it off faster. Parker (one of the bankers) was incredibly professional offering concierge-like services throughout the entire process. I could not have imagined a faster and more efficient service. I greatly recommend this institution!,"Date of experience: October 14, 2022"
panaceafinancial.com,Mike Cotzas DDS,5,US,Mike Spence and the Team at Panacea?,Mike Spence and the Team at Panacea were amazing!!! I very happy and grateful for all of their help. They all exhibited the highest professionalism at all times ! I would gladly recommend Mike Spence and Panacea Financial for anyone thinking about purchasing a Dental/ Medical office!!! Mike Spence is in a class by himself!!!,"Date of experience: October 14, 2022"
panaceafinancial.com,gold gold,5,EG,Read more on:,Read more on:gold-pattern,"Date of experience: December 31, 2022"
panaceafinancial.com,Hank Miller,5,US,This company is the panacea to all that ails the online banking industry!,"I opened a high yield savings account and a checking account. I'm not a doctor or medical student but these accounts are available to everyone.  I'm amazed by the account features and benefits. Unlike any other online bank I've found, you're actually given a personal banker to be your primary contact.  That's simply amazing.    Alex helped me set up both accounts flawlessly.  He was very professional, responsive and friendly.  He also answered all of my questions thoroughly and made me feel like a valued client instead of just another number at a congested call center.","Date of experience: October 20, 2022"
