comments,topic,sentiment,type
Smooth easy The loan was exactly as described There are no hidden fees ,"easy loan,hidden fee",NEGATIVE,appreciation
The company is doing an amazing job at how professional they are with their customers and how willing they are to help you with anything you have questions or doubts ,"amazing job,professional customer",POSITIVE,appreciation
Parker Beller went out of his way to accommodate my need for refinancing my medical school loans along with the very hectic schedule I have during residency He made himself available at times that worked for me and would always answer all my questions thoroughly I appreciate all his work in helping me get approved ,"medical school,hectic schedule,available time",NEGATIVE,information
Know your customer instructions need update and better clarity Financial transactions are slow to process Current balances pending transactions take a long time to show up online No welcome package in postal mail Once I received my checks my last name was spelled incorrectly The ATM would not activate with a PIN It seems it was one error after another I closed my accounts ,"better clarity,financial transaction,slow process,current balance,long time,welcome package,postal mail,last name,closed account",POSITIVE,information
All customer happily receive all answer happily not crazy you believe bank is always great life changing all people say all people s good receiving always Bank hopefully all people answer save,great life,POSITIVE,appreciation
My every Phone call and my every email to Panacea has been absolutely wonderful Always a quick pleasant response and thier interest is wonderful too They answer all of my questions very professionally ,"pleasant response,wonderful answer",POSITIVE,appreciation
I first heard about Panacea while listening to a Curbsiders episode I decided to open a checking acct and ended up applying for a loan to consolidate credit card debt in order to pay it off faster Parker one of the bankers was incredibly professional offering concierge like services throughout the entire process I could not have imagined a faster and more efficient service I greatly recommend this institution ,"faster parker,professional offering,entire process,efficient service",POSITIVE,information
Mike Spence and the Team at Panacea were amazing I very happy and grateful for all of their help They all exhibited the highest professionalism at all times I would gladly recommend Mike Spence and Panacea Financial for anyone thinking about purchasing a Dental Medical office Mike Spence is in a class by himself ,"grateful help,highest professionalism,medical office",POSITIVE,appreciation
I opened a high yield savings account and a checking account I m not a doctor or medical student but these accounts are available to everyone I m amazed by the account features and benefits Unlike any other online bank I ve found you re actually given a personal banker to be your primary contact That s simply amazing Alex helped me set up both accounts flawlessly He was very professional responsive and friendly He also answered all of my questions thoroughly and made me feel like a valued client instead of just another number at a congested call center ,"high yield,medical student,amazed account,online bank,personal banker,primary contact",POSITIVE,information
I recently refinanced my private student loans with Panacea It was a great option for me as my monthly payments are now manageable on a PGY salary and I was offered a better interest rate without the hassle of a co signer than the other companies I applied with My primary care banker Raquel stayed in touch throughout the process and was available via phone and email to answer my questions and make the process very smooth I highly recommend this service to other physicians with substantial private loan debt ,"private student,great option,monthly payment,better interest,primary care,recommend service,private loan",POSITIVE,information
I have tried multiple other loan refinance companies in an attempt to consolidate and or refinance my student loans They always seemed to find a reason to decline my application When I found Panacea I had doubts initially They quickly dissipated after working with my primary care banker Raquel She made this process smooth and easy I am so glad I made the decision to go with this group I am looking forward to having just one monthly payment with one lower interest rate ,"multiple loan,primary care,monthly payment,lower interest",NEGATIVE,information
I had the best experience with Panacea I ve been struggling with credit card debt since college I ve applied to a myriad of companies for a loan to pay them off and their response was I had too much revolving credit That s why I need your help Panacea made this process so easy and effortless I am so happy I came across Panacea ,"best experience,myriad company,easy effortless",POSITIVE,appreciation
Excellent service I feel like those of us in the medical field are not well catered to by most financial services This is especially true early on in our careers Thankfully Panacea understands and makes it easy I hope to continue to go to them as I progress in my career I hope they get into the physician home loan business too ,"excellent service,medical field,financial service,early career,easy hope",POSITIVE,appreciation
I can t say enough good things about Panacea Financial and Brandon Finazzo They closed a loan on my practice in less than weeks and provided amazing customer care Would highly recommend to anyone looking for a great bank that takes care of their customers ,"good thing,closed loan,amazing customer,great bank",POSITIVE,information
Bought a dental office Brandon Shannon and Ellie were the main ones I worked with Very helpful and polite people Made the process a Breeze Shannon would even reply at pm Much smoother process than dealing with a huge bank where I felt like a number ,"dental office,polite people,smoother process,huge bank",POSITIVE,information
It was wonderful to find a financial institution that attributed appropriate value to a physician s training towards obtaining credit Despite being online it was a personable yet still seamless experience Our primary care banker Parker was wonderful to work with together ,"financial institution,appropriate value,online personable,seamless experience,primary care,wonderful work",POSITIVE,information
Working with Panacea was a very good experience They assigned a personal banker who was Parker He was very helpful answered all my questions and emails in timely manner Within hours the loan process was completed Very efficient and easy ,"good experience,personal banker,timely manner",POSITIVE,appreciation
Panacea bank is truly a life saver They provided immense financial support for my residency application and moving expenses into residency They have excellent communication and customer service unbeatable rates with a very easy application process and assigned me to an incredible personal banker I truly feel so lucky to have been introduced to them and remain thankful for all their support ,"financial support,excellent communication,unbeatable rate,easy application,personal banker,thankful support",POSITIVE,information
Everything was easy The banker s staff is so helpful They guide me in every step They will assign a specific person to help you with your loan Therefore that person will know your application pretty well so no mistake can happen ,"easy banker,helpful guide,specific person",POSITIVE,information
I was moving for residency which costs a lot more money than anticipated especially with inflation I didn t have too much money saved despite working throughout medical school I wasn t financially prepared for the move so the loan was beneficial I was able to pay off the credit cards I used and raise my credit score The stress of my financial situation on top of the stress of intern year was negatively impacting my health so this loan saved me ,"much money,medical school,able pay,financial situation,top stress",POSITIVE,information
I requested a loan to Panacea financial I am a first year resident and as we know residency is a financial burden due to moving expenses and settle down in a new city Mr Parker mi financial advisor was spectacular He helped me with the application and he was always available yo respond any questions I had Panacea financial over achieved all my expectations ,"first year,financial burden,new city,financial advisor",NEGATIVE,information
