comments,topic,sentiment,type
I truly enjoyed Ms Jennifer at the Jasper branch She is a special lady Nice kind personable and she is very knowledgeable She explained the different accounts to me and helped me pick out my debit card I enjoyed Ms Jennifer and I look forward to doing business with DuGood Belinda Lane,"special lady,different account",POSITIVE,complaint
Nice service and I can testify they have one of the best staffs ever and also they are one of the most reliable online banks,"nice service,best staff,online bank",POSITIVE,appreciation
The staff there are always helpful and willing to help They are professional and prompt on decisions,prompt decision,POSITIVE,information
Great bank very good customer service In and out very efficient ,good customer,POSITIVE,appreciation
The Nederland branch is the best I am always treated like I am the most important person there I always come out with a smile The employees always are professional and have your best interest in mind ,"important person,best interest",POSITIVE,appreciation
What made my experience so wonderful was the relief that came when I was approved for this loan it is a feeling of freedom and peace to have that opportunity offered and then it became a reality is a wonderful reminder that there are people who care The sweet lady who filled out my loan application was very professional and courteous at the same time very kind and helpful I thank her for representing your company so well and overall I express my sincere gratitude to you this company for reaching out and helping me through this special time of the year Thank you so very much wish you all a very warm and fond holidays Merry Christmas and thank you so very much again sincerely Alfred Jessop ,"wonderful relief,wonderful reminder,sweet lady,courteous time,helpful thank,sincere gratitude,special time,fond holiday",POSITIVE,appreciation
I was able to fill out an application for a loan on Saturday and had a reply by Monday All paperwork was completed in my preferred location Everyone was pleasant and friendly ,preferred location,POSITIVE,information
My experience was great The agent listened to my needs was very knowledgeable courteous friendly and respectful She resolved my issue with professionalism ,great agent,POSITIVE,appreciation
Ms Daniels was very professional Excellent customer service She made me feel important and like a family member of DuGood FCU instead of a member I have never taken out a loan before I m grateful for her assistance in helping me ,"excellent customer,grateful assistance",POSITIVE,appreciation
Great staff quick and easy opening an account,"great staff,easy opening",POSITIVE,appreciation
A GREAT COMPANY VERY HONEST ANDRESPONSIBLE WIHT ITS CUSTOMERS,"great company,wiht customer",POSITIVE,information
I didn t have to wait long before some waited on me The paperwork was there and ready for me to sign The employee was easy to talk to and knew exactly what she was doing Friendly and to the point ,"ready sign,easy talk,friendly point",POSITIVE,information
I am very pleased with the timeliness in which I had received a response but could ve used a little more direction as to what steps need to be taken to fix credit errors so that I may be able to get a loan,"pleased timeliness,little direction",POSITIVE,appreciation
The loan representative Tara Baloney always makes borrowing a smooth process She gets note than stars from me She poise friendly and prompt customer service I recommend everyone to the institution for all their financial needs They offer excellent rates and approval odds ,"smooth process,prompt customer,financial need,excellent rate",POSITIVE,information
Truly a great experience to inquire about a loan then apply and got approved all with in less than minutes Ms Kristin Daniels was AMAZINGLY AWESOMESAUCE She was very fast and knowledgeable answered every concern I had and made me feel at ease and peace with running my Credit understanding that I can t afford a hard hit for nothing I really love DuGood Federal Credit Union and I most definitely will refer As a matter of fact I brought in a New Customer last month ,"great experience,new customer,last month",POSITIVE,appreciation
Audrey was very sweet and easy to work with She got all the information I need to make this experience as easy as possible,easy work,POSITIVE,appreciation
Fast response to a loan very friendly and helpful and fast releasing funds,"fast response,fast releasing",POSITIVE,information
She was very knowledgeable Very interested in me and my daughter,interested daughter,POSITIVE,information
I diid not receive all hat I wanted i did however get enough help to lessen my problem and I understand why it was done this way I have been wjth this credit union many years and the people there have always been as curteous and friendly and make you feel that everything is buisness like and secure ,"enough help,many year,friendly make",POSITIVE,appreciation
Overall the experience was very enjoyable and I am pleased with the customer service I received I took a loan on a very short notice and had the funds available literally the same day The process was smooth and hassle free and I would recommend anyone to contact DuGood for holiday or personal loans ,"overall experience,pleased customer,short notice,smooth hassle,personal loan",POSITIVE,appreciation
Very knowledgeable knowing just I need and confirm what I needed first and how to go about it thanks and I would recommend DuGood bank to my friend s ,dugood bank,POSITIVE,appreciation
Excellent bank which provide loan easily and at low interest,low interest,NEGATIVE,complaint
How fast it was to sign up,fast sign,POSITIVE,information
It s always hassle free and a pleasure dealing with Tara Baloney She takes care of her business in a very professional and timely manner ,"free pleasure,tara baloney",POSITIVE,appreciation
Always great and easy to get my loan Kristen is awesome Dugood is my favorite place Happy holidays to everyone ,"favorite place,happy holiday",POSITIVE,appreciation
Very friendly welcome atmusefear all the employees made you fill at home ,welcome atmusefear,POSITIVE,appreciation
I applied for a loan over the phone and the process was convenient quick and stress free Cara was exceptionally friendly courteous and helpful ,"quick stress,free cara",NEGATIVE,complaint
Customer service is awesome Very easy to speak to a loan officer get the information needed and make a purchase This is important to me in today s market because timing is critical to make a deal My loan officer Kristin Daniels was very helpful and dealt with me via text which was easy for me as I am in and out of my office We were able to get all the information needed to get the loan approved and funded the same day Even though the seller is not located in town they were able to visit a Dugood branch in their area to drop off the title and pick up their check again making it easy to transfer the title and complete the transaction I was able to visit my local branch and complete my portion of the paperwork even though my loan officer was located in another branch I have been with Dugood for many years and will continue to partner with them for many more Feels like family especially when dealing with Rhonda at my local branch ,"speak loan,important today,easy office,dugood branch,easy transfer,complete transaction,local branch,complete portion,many year,local branch",POSITIVE,information
Loan officer Tori Johnson was great She helped look at the best option for me and my financial needs She was very patient going through all my options and most of she was genuinely patient Great job DuGood choosing the most professional knowledgeable and pleasant staff ,"best option,financial need,great job,pleasant staff",POSITIVE,information
Always friendly and great customer support ,great customer,POSITIVE,appreciation
I ve used this bank app and the loan process a couple of different times and it s always been very quick and easy The personal are wonderful and good at returning phone calls because of them I have the money for my new air conditioning ,"different time,new air",POSITIVE,appreciation
DuGood is always welcoming DuGood has made doing business efficient and easy to access which means information can be expeditiously processed Using the DuGood App is what I love Everything at your fingertips at a glimpse If you are thinking of doing financial business anytime of the day you can achieve it via the DuGood App or website It is easy to access no matter what your needs are Questions are quickly answered with a real person to provide support ,"easy access,mean information,financial business,anytime day,dugood app,easy access,real person",NEGATIVE,information
I really like and appreciate the folks at the Mont Belvieu office they always go above and beyond The experience with my loan officer not so much She failed to call me answer my calls or even text me on the day I was to pick up my new vehicle to inform me that I had to drive to Mont Belvieu to sign docs and pick up the check So it was very inconvenient for me and took hours to resolve When I mentioned that she left me hanging out there she didn t seem too concerned she was at lunch I will go directly to the Mont Belvieu office from now on ,"new vehicle,concerned lunch",POSITIVE,information
The online experience was great It was easy to go through and shortly thereafter a representative from the branch called me to confirm my information and that it was I that set up the account and she was super knowledgeable Thanks DuGood for the most perfect opportunity to bank with you ,"online experience,representative branch,confirm information,knowledgeable thanks,perfect opportunity",POSITIVE,information
I work out of town and the Ladies at Jasper make it easy for me to purchase things They are the greatest Appreciate them very much ,easy purchase,POSITIVE,appreciation
They were very helpful kind and made it very easy to get the loan I needed to help my credit,helpful kind,POSITIVE,appreciation
she was very fast nice and to the point couldn t have gone better,nice point,POSITIVE,appreciation
Wanted a local credit union that could meet our needs DuGood met and exceeded all other local CU s and the employees at the Jasper branch were great to work with Would recommend them to all of our family and friends ,"local credit,cu employee,great work",POSITIVE,appreciation
Loan process was super fast and easy I applied and had the money within the same day DuGood staff was very helpful and worked efficiently ,dugood staff,POSITIVE,appreciation
A little scary at first But Pauline Villarreal and Christine took all the fear away and I say thank You,"first pauline,villarreal christine",POSITIVE,information
The only complaint I have is the choice of music playing overhead I believe it was Christian rock pop I don t understand why something so personal such as religious belief was necessary for my experience It had me wondering if the company was limited in its inclusion based on religion or possibly even other factors Otherwise my experience was great ,"religious belief,necessary experience",POSITIVE,appreciation
Great service The employees were very friendly and helpful They were helpful in getting my accounts set up and my debit card activated I m looking forward to a great experience with your company ,"great service,great experience",POSITIVE,appreciation
The benefits they provide are awesome and it was so easy to open an account I am very pleased with the service they provide ,"open account,pleased service",POSITIVE,appreciation
