BankURL,UserName,ReviewRating,UserLocation,ReviewTitle,comments,ReviewDate
networkcapital.net,Tee Denise,4,US,Working with Eddie Claus was a great…,"Working with Eddie Claus was a great experience. He was very prompt with passing on information and keeping me informed with what was happening with my loan. He really stepped up when it came to my loan, when the previous loan agent I was working with left the company. I appreciate all that Eddie in did for me in gets my loan approval. Thanks Eddie.","Date of experience: November 01, 2022"
networkcapital.net,Effie Andrews,5,US,Deiago Lorenzo excellent service My…,Deiago Lorenzo excellent service My wife just had heart surgery and was with us through the whole process. He called and checked on    us through the whole progress. And helped above and beyond his duties.I believe he is a asset to your organazationSincerelyStephen D AndrewsSenior Vice PresidentBurger King operation,"Date of experience: November 30, 2022"
networkcapital.net,CD,5,US,Our Experience with Network Capital,"Our experience with Network Capital was awesome. Gabriel Flores and Craigneisha Williams were very helpful, informative and professional. Both Mr. Flores and Ms Williams were knowledgeable in their job and never hesitated to assist.  We would most definitely refer them to others searching for or refinancing a home.","Date of experience: November 09, 2022"
networkcapital.net,robert t hoelle,5,US,…An outstanding refinance expirience,"I recently expirenced an online home loan refinance with Network Capital Fundinding. I was very nervous about the process since my technical skills are very limited. Gabriel Flores and Jennifer Garcia immediately put me at ease and made the process easy for me. They were there every step of the way, were extremely patient with all my questions about the documents that I needed, and the best way to forward those documents to them. They made me feel comfortable with the entire process from start to finish. I would defineatly recommend both of these employees of Network Capital Funding to my family and friends.","Date of experience: October 25, 2022"
networkcapital.net,Leesa Hartz,5,US,Quick and supportive process,"Chris, our processor, was friendly, personable, and worked hard with the team to make our experience go smoothly. We received phone calls and emails to keep us posted of the progress of our home refinance, as it’s very stressful on this side of things waiting for the help you need. The quick process and support by people who actually cared about your story and needs, make this company one you prefer to recommend!","Date of experience: October 10, 2022"
networkcapital.net,Kristin,5,US,Talk about attention to details...WOW…,Talk about attention to details...WOW Debbie didnt miss a thing and was so pleasant to speak with even when my brain didnt work well lol. Debbie even found something I thought had already been paid off but wasnt...so we did. If I had to do it again Debbie and Jawan are my forever team. THANKS!!!,"Date of experience: October 19, 2022"
networkcapital.net,Catherine Knussmann,5,US,Keeping them in the family!,"My mom and dad have used Network Capital for more than 10 transactions over many years. No surprise when my husband and I were looking to purchase our first married home we turned to them. The experience was calm, organized and quick! Our mortgage processor, Justin P. Johnson, is always readily available. He kept in close contact with us and helped with each step. Super organized!! Just an all around great guy! I was impressed enough to recommend his services to three of my realtor friends for their clients. Sarah Behl, our loan processor, is very knowledgeable. She delt a lot with our crazy money questions, lol, always with a sweet, calming demeanor!Justin and Sarah are a top notch team! Scott & I highly recommend them and look forward to a long relationship!","Date of experience: November 30, 2022"
networkcapital.net,TC,5,US,NETWORK CAPITAL FUNDING: NEW ROCKET ON THE BLOCK,"It's been a great journey working with Network Capital Funding because both the front-line experts (loan officers, processors, etc.) and back-end support experts work tirelessly to make sure they deliver on the three-week closing deadline promise. And Network Capital Funding DO DELIVER WHAT THEY PROMISE.When you work with Network Capital Funding, you can expect the East Coast_West Coast teams are there for you and you only from 8 am to 8 pm EST.You can expect the very best, and Network Capital Funding is ready to deliver the very best for you as they have done for me.","Date of experience: November 04, 2022"
networkcapital.net,Nan,5,US,My overall experience was great but cost of appraisal was too expensive.,"My overall experience was great.  However, the cost of the Appraisal ($700) was twice as much as norm plus I was charged another $190 for appraiser to return round trip 15 miles, take 2 photos.  Quite expensive and for the amount of original visit should have been included.","Date of experience: November 17, 2022"
networkcapital.net,Barbara Hazle,5,US,Tiny Loan on Ashland Street,"What made our experience so great, in 2 words, Angel Fandino.  What a blessing. Refinancing our  property was was made an effortless project due to the way Angel Fandino handled everything so graciously and professionally. Angel is always available to answer any questions.  Angel has a very upbeat attitude and an extremely pleasing voice. I cannot imagine anyone not enjoying Angel.  I would send anyone I know to Angel for financing.  Angel is our angel.Thank you Network Capital and Angel Fandino,Barbara Hazle and Hazel Mack","Date of experience: November 08, 2022"
