,comments
0,the sous quality is world class but with the sterio the mono is only you can use for background for stereo order two and then feel the experienceas it is expensive too
1,"The one is very excellent, I have used many Bluetooth speakers, JBL charge, JBL  flip, Transit by Soans, Harman Kardon, etc. pure balanced sound is what you get.The problems I faced are:The Bose Connect app is very poor.The Bose Revolve+ ii does not support VOIP calls (WhatsApp, Zoom) says Bose india. Bose India customer service’s response was inadequate. The technical team, apparently, lack product knowledge."
2,quality sound with premium price
3,"I have been using it from 3 months, extensivelyIts a portable speaker so expect it to be like one. My priority was great sound quality & high portability & this I’m glad this is not chunky at all.The sound quality is great, gets too loud for indoor but for outdoor it’s perfect for all the trips or camping.Connectivity is fine but not impressive, you will feel some lack of tech somewhere but it doesn’t disappoints as well. I would say it has what’s required.Battery backup is highly impressive but at full volume it isn’t. Although i hardly played it on full. Goes full week on 1 charge if you are listening it for 1-2 hour daily.Music quality is soothing, I don’t  get tired of listening even for hours. 360 degree sound also plays its part well.Look & Brand value is top notch.One of my fav feature is tripod mount it got.Worth the money if you are getting it on discount as I did, even discounted package was received in perfect condition.If you are paying full price as on MRP then its an individual perception, weather its worth or not."
4,"Review after a  day of full usagea. Bose seems to have missed the sweet spot of balanced sound & II generation is heavy on Bass (liked by most of the folks). While it's equaliser from the source device can be adjusted to suit the need. However for movies, specifically for speech part sounds punchyb. Still the best sounding speaker, loud & clear even at 75% volume (tested almost all genres including old songs) Sounds superb everytimeC. I've connected Alexa & Google home to play music via BT to play music wirelessly. The phone gets free & saves the batteryD. Dual BT connectivity is great, however you'd expect BT version 5 for speaker you buy in 2022E. It's a pity that they don't have adopted USB C charging yetF. The Bose connect app is pretty basic, doesn't have equilizer built in. If played from TV or other sources it doesn't detect as music playing & tends to auto switch off at timesOverall Verdict - It's the Apple iPhone of speakers, it isn't feature heavy but does the basic job superbly well & consistently"
5,Na
6,"So the clarity is crisp you can hear the sound as if someone is singing next to you, recently when i played a movie there was a scene where a girl was screaming, my mother ran from kitchen just to see if anything had happened to my sister thats the sound quality it has."
7,Costly but the best blutooth speaker. You will fall in at first listen.
8,"I won't write much about the product because the ones who will go for BOSE, already know what it's about. It's worth it. It is relative and debatable but to me, it's worth 20,499/-But the shipment was awful. Like most AMAZON deliveries, it doesn't fail to disappoint. To the buyers, a product like this is a luxury, not to be thrown around but to be cherished. But you can see the condition the box came in. There were no outer box. Only the BOSE box with a thin plastic wrap, damaged around the edges and on the corners, mostly attributed to rough handling and absence of a outer cardboard package. Very poor experience. Photos attached for reference and heartiest thanks to amazon for ruining the beautiful box."
9,"Good product.Delivery was perfect. The box came in original factory plastic wrapping, brand new - May2022 manufactory and Aug2022 import date (Oct2022 i bought) Price on box - 29,400 which i got for 20,499 - real good deal."
