Unnamed: 0,comments,CleanedText,sentiment
0,"The material is really in accordance with the brand name, Storage is good and the back padding is good, just miss the laptop sleeves.","The material is really in accordance with the brand name, Storage is good and the back padding is good, just miss the laptop sleeves.",POSITIVE
1,Overall bag is good but.. now these days .. this bag is not good ... In rainy days you don't get a rain cover for this bag...,Overall bag is good but. now these days . this bag is not good . In rainy days you don't get a rain cover for this bag.,NEGATIVE
2,Good material with zipper quality,Good material with zipper quality,POSITIVE
3,👍,👍,POSITIVE
4,I bought it for 700 something which is great deal.. And it is great for travelling purpose rather than daily useage,I bought it for 700 something which is great deal. And it is great for travelling purpose rather than daily useage,POSITIVE
5,Reasonable n useful,Reasonable n useful,POSITIVE
6,Good product in its price,Good product in its price,POSITIVE
7,Super,Super,POSITIVE
8,Good product for gift,Good product for gift,POSITIVE
9,Good as we expected weight less..,Good as we expected weight less.,POSITIVE
10,Best of best. 👍,Best of best. 👍,POSITIVE
11,Good product,Good product,POSITIVE
12,It's a good product in a true price,It's a good product in a true price,POSITIVE
13,Product is goodCons :- No rain protection cover,Product is goodCons :- No rain protection cover,NEGATIVE
14,Good,Good,POSITIVE
15,MRP.2300 but 700rs price buying ❤️Good quality material bagOverall good ☺️,MRP.2300 but 700rs price buying ❤️Good quality material bagOverall good ☺️,POSITIVE
16,The bag is good for capacity and it is very good for travelling to take even to school it's very good but tear in one month or two months request to not by product you can choose another product please don't buy this product event is going to buy we will take it careful or like for travelling don't take for school why I said to not take district school because when you take this school it will get automatically tear and in four months aur 3 month by this product please if you are travelling then you can buy this don't take to school that's all.,The bag is good for capacity and it is very good for travelling to take even to school it's very good but tear in one month or two months request to not by product you can choose another product please don't buy this product event is going to buy we will take it careful or like for travelling don't take for school why I said to not take district school because when you take this school it will get automatically tear and in four months aur 3 month by this product please if you are travelling then you can buy this don't take to school that's all.,NEGATIVE
17,Travel,Travel,POSITIVE
18,Nice school bag,Nice school bag,POSITIVE
19,Light weight and comfortable,Light weight and comfortable,POSITIVE
20,It's shows raincover but it's actually a water resistant material there is no raincover inside the bag,It's shows raincover but it's actually a water resistant material there is no raincover inside the bag,NEGATIVE
21,The outer fabric of bag is water resistant but water can come through zips.,The outer fabric of bag is water resistant but water can come through zips.,NEGATIVE
22,Amazing product... Recommended to buy it,Amazing product. Recommended to buy it,POSITIVE
23,Bag is almost good but i hate it small packet for water bottles,Bag is almost good but i hate it small packet for water bottles,NEGATIVE
25,"The media could not be loaded.
                



 Well, overall a good product except the issue that i faced with the pockets of the bag where they got torn off because they were made of net. And because of the way kids handle the bag, the side pockets got torn away.Apart from this pocket issue, the bag is superb","The media could not be loaded.
                



 Well, overall a good product except the issue that i faced with the pockets of the bag where they got torn off because they were made of net. And because of the way kids handle the bag, the side pockets got torn away. Apart from this pocket issue, the bag is superb",NEGATIVE
26,As expected,As expected,NEGATIVE
27,I had bought this for my son studied in class 4th. Material is very good but sticking is not good enough as a brand you trust on. Stuff is really good and light weight.,I had bought this for my son studied in class 4th. Material is very good but sticking is not good enough as a brand you trust on. Stuff is really good and light weight.,NEGATIVE
28,"The media could not be loaded.
                



 Good product good storage space. 1 year warranty is plus point","The media could not be loaded.
                



 Good product good storage space. 1 year warranty is plus point",NEGATIVE
29,I purchased other bags of American tourister are better than this bag,I purchased other bags of American tourister are better than this bag,NEGATIVE
30,Good buy,Good buy,POSITIVE
31,I am using 7 month,I am using 7 month,POSITIVE
32,Best and loglasting product,Best and loglasting product,POSITIVE
33,Pros: - Lightweight - Zippers are good.Cons: - Not enough space. - Don't have too many pockets.,Pros: - Lightweight - Zippers are good. Cons: - Not enough space. - Don't have too many pockets.,NEGATIVE
34,I was disappointed about  the fact tht it don't have a raincover ..... Other than tht it's good,I was disappointed about  the fact tht it don't have a raincover . Other than tht it's good,POSITIVE
35,Not a laptop pouch inside,Not a laptop pouch inside,NEGATIVE
36,I like weight and dislike is laptop💻💻 row,I like weight and dislike is laptop💻💻 row,NEGATIVE
37,Good product and lightweight beg...,Good product and lightweight beg.,POSITIVE
38,Bag look nice and very comfortable. One concern is one Zip is little tight. No other problems.,Bag look nice and very comfortable. One concern is one Zip is little tight. No other problems.,POSITIVE
39,I can use 6 month good  performance,I can use 6 month good  performance,POSITIVE
40,"I bought the blue bag and loved it ever since I first tried it. Great fit and perfect for my need- school. It is easy to pack the heavy textbooks in this and I have fallen in love with this bag!Only problem though is that it could have more compartments, very small ones, for stuff like keeping identity card, money etc.But great product, and I have rated it 4/5","I bought the blue bag and loved it ever since I first tried it. Great fit and perfect for my need- school. It is easy to pack the heavy textbooks in this and I have fallen in love with this bag. Only problem though is that it could have more compartments, very small ones, for stuff like keeping identity card, money etc. But great product, and I have rated it 4/5",POSITIVE
41,MARKET MAI IS RATE MIL JATI HAI VESE KHUCH KHASH NHI HAI  THIKTHAK HAI VESE UTNI KHERAB NHI HAI,MARKET MAI IS RATE MIL JATI HAI VESE KHUCH KHASH NHI HAI  THIKTHAK HAI VESE UTNI KHERAB NHI HAI,NEGATIVE
42,Rain cover dena chahiye tha,Rain cover dena chahiye tha,NEGATIVE
43,Bought this bag for my son college a good durable bag.,Bought this bag for my son college a good durable bag.,POSITIVE
44,Very good,Very good,POSITIVE
45,Good one,Good one,POSITIVE
46,"LITE WAIT , CLOTH QUALITY IS NAT GOOD LOOKING LIKE A AMERICAN TRURISTER COPYAND FRONT WHITE COLOR  IS NOT LOOKING GOOD.","LITE WAIT , CLOTH QUALITY IS NAT GOOD LOOKING LIKE A AMERICAN TRURISTER COPYAND FRONT WHITE COLOR  IS NOT LOOKING GOOD.",NEGATIVE
47,Overall the bag is a perfect choice for 10th grade students but it is quite expensive... Quality is good nd if ur budget is around Rs 1000  then go 4 it.... Everything is just lit man!!!!,Overall the bag is a perfect choice for 10th grade students but it is quite expensive. Quality is good nd if ur budget is around Rs 1000  then go 4 it. Everything is just lit man.,POSITIVE
48,We bought it for my kid for school books. It was very comfortable and good quality material was used.,We bought it for my kid for school books. It was very comfortable and good quality material was used.,POSITIVE
49,SuperbNice product,SuperbNice product,POSITIVE
50,Like,Like,POSITIVE
51,गुड,गुड,POSITIVE
52,Nice,Nice,POSITIVE
53,Can be used as school bag or even for a day's picnic,Can be used as school bag or even for a day's picnic,NEGATIVE
54,Good under this price range of 1200,Good under this price range of 1200,POSITIVE
55,Nice but water resistant is not working,Nice but water resistant is not working,POSITIVE
56,Equally like,Equally like,POSITIVE
57,Good Quality  but 1 minus pint in this bag is Laptop holder belt not available in laptop pocket.,Good Quality  but 1 minus pint in this bag is Laptop holder belt not available in laptop pocket.,POSITIVE
