,comments,CleanedText
0,"The material is really in accordance with the brand name, Storage is good and the back padding is good, just miss the laptop sleeves.","The material is really in accordance with the brand name, Storage is good and the back padding is good, just miss the laptop sleeves."
1,Overall bag is good but.. now these days .. this bag is not good ... In rainy days you don't get a rain cover for this bag...,Overall bag is good but. now these days . this bag is not good . In rainy days you don't get a rain cover for this bag.
2,Good material with zipper quality,Good material with zipper quality
3,👍,👍
4,I bought it for 700 something which is great deal.. And it is great for travelling purpose rather than daily useage,I bought it for 700 something which is great deal. And it is great for travelling purpose rather than daily useage
5,Reasonable n useful,Reasonable n useful
6,Good product in its price,Good product in its price
7,Super,Super
8,Good product for gift,Good product for gift
9,Good as we expected weight less..,Good as we expected weight less.
10,Best of best. 👍,Best of best. 👍
11,Good product,Good product
12,It's a good product in a true price,It's a good product in a true price
13,Product is goodCons :- No rain protection cover,Product is goodCons :- No rain protection cover
14,Good,Good
15,MRP.2300 but 700rs price buying ❤️Good quality material bagOverall good ☺️,MRP.2300 but 700rs price buying ❤️Good quality material bagOverall good ☺️
16,The bag is good for capacity and it is very good for travelling to take even to school it's very good but tear in one month or two months request to not by product you can choose another product please don't buy this product event is going to buy we will take it careful or like for travelling don't take for school why I said to not take district school because when you take this school it will get automatically tear and in four months aur 3 month by this product please if you are travelling then you can buy this don't take to school that's all.,The bag is good for capacity and it is very good for travelling to take even to school it's very good but tear in one month or two months request to not by product you can choose another product please don't buy this product event is going to buy we will take it careful or like for travelling don't take for school why I said to not take district school because when you take this school it will get automatically tear and in four months aur 3 month by this product please if you are travelling then you can buy this don't take to school that's all.
17,Travel,Travel
18,Nice school bag,Nice school bag
19,Light weight and comfortable,Light weight and comfortable
20,It's shows raincover but it's actually a water resistant material there is no raincover inside the bag,It's shows raincover but it's actually a water resistant material there is no raincover inside the bag
21,The outer fabric of bag is water resistant but water can come through zips.,The outer fabric of bag is water resistant but water can come through zips.
22,Amazing product... Recommended to buy it,Amazing product. Recommended to buy it
23,Bag is almost good but i hate it small packet for water bottles,Bag is almost good but i hate it small packet for water bottles
24,,
25,"The media could not be loaded.
                



 Well, overall a good product except the issue that i faced with the pockets of the bag where they got torn off because they were made of net. And because of the way kids handle the bag, the side pockets got torn away.Apart from this pocket issue, the bag is superb","The media could not be loaded.
                



 Well, overall a good product except the issue that i faced with the pockets of the bag where they got torn off because they were made of net. And because of the way kids handle the bag, the side pockets got torn away. Apart from this pocket issue, the bag is superb"
26,As expected,As expected
27,I had bought this for my son studied in class 4th. Material is very good but sticking is not good enough as a brand you trust on. Stuff is really good and light weight.,I had bought this for my son studied in class 4th. Material is very good but sticking is not good enough as a brand you trust on. Stuff is really good and light weight.
28,"The media could not be loaded.
                



 Good product good storage space. 1 year warranty is plus point","The media could not be loaded.
                



 Good product good storage space. 1 year warranty is plus point"
29,I purchased other bags of American tourister are better than this bag,I purchased other bags of American tourister are better than this bag
30,Good buy,Good buy
31,I am using 7 month,I am using 7 month
32,Best and loglasting product,Best and loglasting product
33,Pros: - Lightweight - Zippers are good.Cons: - Not enough space. - Don't have too many pockets.,Pros: - Lightweight - Zippers are good. Cons: - Not enough space. - Don't have too many pockets.
34,I was disappointed about  the fact tht it don't have a raincover ..... Other than tht it's good,I was disappointed about  the fact tht it don't have a raincover . Other than tht it's good
35,Not a laptop pouch inside,Not a laptop pouch inside
36,I like weight and dislike is laptop💻💻 row,I like weight and dislike is laptop💻💻 row
37,Good product and lightweight beg...,Good product and lightweight beg.
38,Bag look nice and very comfortable. One concern is one Zip is little tight. No other problems.,Bag look nice and very comfortable. One concern is one Zip is little tight. No other problems.
39,I can use 6 month good  performance,I can use 6 month good  performance
40,"I bought the blue bag and loved it ever since I first tried it. Great fit and perfect for my need- school. It is easy to pack the heavy textbooks in this and I have fallen in love with this bag!Only problem though is that it could have more compartments, very small ones, for stuff like keeping identity card, money etc.But great product, and I have rated it 4/5","I bought the blue bag and loved it ever since I first tried it. Great fit and perfect for my need- school. It is easy to pack the heavy textbooks in this and I have fallen in love with this bag. Only problem though is that it could have more compartments, very small ones, for stuff like keeping identity card, money etc. But great product, and I have rated it 4/5"
41,MARKET MAI IS RATE MIL JATI HAI VESE KHUCH KHASH NHI HAI  THIKTHAK HAI VESE UTNI KHERAB NHI HAI,MARKET MAI IS RATE MIL JATI HAI VESE KHUCH KHASH NHI HAI  THIKTHAK HAI VESE UTNI KHERAB NHI HAI
42,Rain cover dena chahiye tha,Rain cover dena chahiye tha
43,Bought this bag for my son college a good durable bag.,Bought this bag for my son college a good durable bag.
44,Very good,Very good
45,Good one,Good one
46,"LITE WAIT , CLOTH QUALITY IS NAT GOOD LOOKING LIKE A AMERICAN TRURISTER COPYAND FRONT WHITE COLOR  IS NOT LOOKING GOOD.","LITE WAIT , CLOTH QUALITY IS NAT GOOD LOOKING LIKE A AMERICAN TRURISTER COPYAND FRONT WHITE COLOR  IS NOT LOOKING GOOD."
47,Overall the bag is a perfect choice for 10th grade students but it is quite expensive... Quality is good nd if ur budget is around Rs 1000  then go 4 it.... Everything is just lit man!!!!,Overall the bag is a perfect choice for 10th grade students but it is quite expensive. Quality is good nd if ur budget is around Rs 1000  then go 4 it. Everything is just lit man.
48,We bought it for my kid for school books. It was very comfortable and good quality material was used.,We bought it for my kid for school books. It was very comfortable and good quality material was used.
49,SuperbNice product,SuperbNice product
50,Like,Like
51,गुड,गुड
52,Nice,Nice
53,Can be used as school bag or even for a day's picnic,Can be used as school bag or even for a day's picnic
54,Good under this price range of 1200,Good under this price range of 1200
55,Nice but water resistant is not working,Nice but water resistant is not working
56,Equally like,Equally like
57,Good Quality  but 1 minus pint in this bag is Laptop holder belt not available in laptop pocket.,Good Quality  but 1 minus pint in this bag is Laptop holder belt not available in laptop pocket.
58,I am satisfied with this ...I got it by Rs..999..it is good and size is also good.,I am satisfied with this . I got it by Rs.999. it is good and size is also good.
59,Good,Good
60,When I got this product in my hands it was in very good condition.,When I got this product in my hands it was in very good condition.
61,Excellent👍,Excellent👍
62,"Everything is good in this bag but The material quality of the bag is so bad.So, plz don't buy this bag.","Everything is good in this bag but The material quality of the bag is so bad. So, plz don't buy this bag."
63,Bought this for my 11yr old son as his new school bag. Light & does the job. Value for money (<₹1K). Writing this review after 1month of use. Will be happy if it stays for 1 full academic year.,Bought this for my 11yr old son as his new school bag. Light & does the job. Value for money (<₹1K). Writing this review after 1month of use. Will be happy if it stays for 1 full academic year.
64,Good but not perfect,Good but not perfect
65,,
66,Durable and usefull.. best quality,Durable and usefull. best quality
67,"The bag was not as i wanted so i returned it and buy another one which was better than this one but the good part in all these buying and returning process was Amazon's fastest,reliable services thank you amazone","The bag was not as i wanted so i returned it and buy another one which was better than this one but the good part in all these buying and returning process was Amazon's fastest,reliable services thank you amazone"
68,"It's too much light weight,and stylish.","It's too much light weight,and stylish."
69,Value for money,Value for money
70,THANK YOU,THANK YOU
71,Must buy .,Must buy .
72,Like it,Like it
73,👌 👍🏻,👌 👍🏻
74,Best one that I had,Best one that I had
75,,
76,awsome product,awsome product
77,Overall very good,Overall very good
